title,company,ratting,location,summary
Data Scientist,Colgate-Palmolive,4.3,"Mumbai, Maharashtra","Defines data lifecycles, including data sources, frequency and process for ongoing model upgrades.
Collaborates with the team to shape use cases and guide them…"
Senior Data Scientist,Colgate-Palmolive,4.3,"Mumbai, Maharashtra","Direct a team of data scientists in identifying the right analytic solution for individual use cases.
Defines data lifecycles, including data sources, frequency…"
Data Scientist (Risk Analytics & Modeling),LoanXpress,0.0,None,"Manage large loan level and borrower level data used for risk and learning models.
Minimum 2 years of experience in implementing statistical/machine learning…"
Data Scientist,INEXTURE SOLUTIONS,4.5,None,"Understanding of data structures, data modeling, and software architecture basics.
We are looking for an expert in machine learning to help us extract value…"
Junior Data Scientist/ta,WSD Consultant,0.0,None,These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future.
Data Scientist,Laqshya Infosoft Solutions,0.0,None,"Job Location will be Andheri West*.
We are looking for TRAINER / FACULTY on Part Time Basis to deliver Data Science Program at our institute located in Mumbai."
Data Scientist,Roche Pharmaceuticals,0.0,None," Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Join us as a Data Scientist in our company."
Data Scientist,XPO Logistics,3.2,None,"The selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis (machine…"
Data Scientist,Applicate IT Solutions Pvt. Ltd.,0.0,None,"Select appropriate datasets and data representation methods.
Understand business domain and solve business use cases using Computer vision/Machine learning/AI…"
Data Scientist,AI Engineer,0.0,None,"Ability to use data visualization tools to showcase data for stakeholders.
Analyze and derive value from data through the application methods such as…"
Data Scientist II,HERE Technologies,3.8,None,"Development experience with GIS data.
Knowledge of tools such as Pig, Hive, etc., for working with big data in Hadoop and/or Spark for data extraction and data…"
Data Scientist,NatWest Group,3.4,None,"Participating in the data community, you’ll identify and deliver opportunities to support the bank’s strategic direction through the better use of data."
Data Scientist,Zestmoney,0.0,None,"Apply advanced statistical and data mining techniques in order to derive patterns from the data.
Assess the effectiveness and accuracy of new data sources and…"
Data Scientist / Machine Learning Expert,ANI Calls India Private Limited,0.0,None,"Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…"
Data Scientist Developer,Safaltek Software Pvt. Ltd.,3.9,None,"Job Title: * Data Science Developer.
Location: * Safaltek Software Pvt. Ltd. - Sec-67, Netsmartz Square, Mohali.
Good with time complexity & Multithreading."
Data Scientist Developer,Safaltek Software Pvt. Ltd.,3.9,None,"Job Title: * Data Science Developer.
Location: * Safaltek Software Pvt. Ltd. - Sec-67, Netsmartz Square, Mohali.
Good with time complexity & Multithreading."
DATA SCIENTIST,Rockwell Automation,3.9,None,"Experience implementing data science models in production.
Bachelor’s degree in data analytics, software engineering, management information systems, or related…"
Data Science-DL-,Aditya Birla Group,4.1,None,"As such, the role of a data scientist is responsible for creating the decision systems that convert data into models."
Data Scientist,Dun & Bradstreet,3.7,None,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques."
Data and Applied Scientist,Microsoft,4.2,None,"We have an exciting opportunity for a seasoned data and applied scientist, who is passionate about building deep analytics, insights and optimization…"
Data Science,Larsen & Toubro Infotech Limited,3.7,None,"Preferable Expertise in leveraging capabilities of AI & ML with medium to large customer data in Insurance Domain.
Concentrations in AI/ML preferred."
Sr. Data Scientist,Qwickbit technologies pvt ltd,0.0,None,"\* Present information using data visualization techniques.
\* Undertake preprocessing of structured and unstructured data.
Job Types: Full-time, Contract."
Data Scientist,Fundnel Pte Ltd,0.0,None,"Familiarity with data engineering methodologies, including SQL, ETL and experience in manipulating data sets with structured and unstructured data using Hadoop,…"
Data Scientist / NLP specialist,ANI Calls India Private Limited,0.0,None,"BI tools for data visualization like Tableau.
5 years of professional experience in a data science.
Experience extracting insights from large data sets using…"
Data Scientist,Payoda,4.0,None,"We are looking for a passionate data scientist to become part of the Bigdata and Data Science team to.
Hands-on data scrapping, data exploration, hypothesis…"
"ESG Data Strategy, Data Scientist – Alternative Data",Institutional Shareholder Services,3.3,None,"The ideal candidate will collaborate with ISS’ data engineers to build, maintain, test and continuously improve our data scraping tools in order to improve…"
Data Scientist,Ganit,0.0,None,"Create and implement data models.
Can handle data extraction, preparation and transformation.
Location: Chennai, Mumbai, Bengaluru - India."
Data Scientist,Parexel,3.7,None,"Deliver analytic insights and recommendations using data visualization techniques.
Extensive experience in working with large-scale data."
Data Scientist,NOVIQUE HEALTH,0.0,None,"Complex data domains, especially: natural language, health data e.g. insurance claims.
Work autonomously on your projects, supported by a growing and ambitious…"
Data Scientist / Machine Learning,ANI Calls India Private Limited,0.0,None,"Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…"
"ESG Data Strategy, Data Scientist – Alternative Data",Institutional Shareholder Services,3.3,None,"The ideal candidate will collaborate with ISS’ data engineers to build, maintain, test and continuously improve our data scraping tools in order to improve…"
Data Scientist,Ganit,0.0,None,"Create and implement data models.
Can handle data extraction, preparation and transformation.
Location: Chennai, Mumbai, Bengaluru - India."
Data Scientist,Parexel,3.7,None,"Deliver analytic insights and recommendations using data visualization techniques.
Extensive experience in working with large-scale data."
Data Scientist,NOVIQUE HEALTH,0.0,None,"Complex data domains, especially: natural language, health data e.g. insurance claims.
Work autonomously on your projects, supported by a growing and ambitious…"
Data Scientist / Machine Learning,ANI Calls India Private Limited,0.0,None,"Strong intuition for data and Keen aptitude on large scale data analysis.
6-9 years of strong experience in data mining, machine learning and statistical…"
Manager - Data Scientist,Michelin,4.0,None,"The data, its relevance and its source are described and prioritized.
The data are prepared (cleansed, enriched, mapped,agregated, …) and the approach is…"
Data Analyst/ Scientist,ANI Calls India Private Limited,0.0,None,"Design, develop and implement data science and business analytics models for problem solving.
Analyze and evaluate research and interpret data, making sure that…"
Opening For Senior Data Scientist,Mahindra Holidays & Resorts Pvt. Ltd.,0.0,None,"Extensive use of RDBMS, NoSQL databases, cloud architecture to create data pipelines, automate machine learning jobs and model testing."
Senior Data Scientist,TEG Analytics,4.0,None,"You will be part of a data science or cross-disciplinary team on commercially-facing development projects, typically involving large, complex data sets."
NLP Scientist,AutonomIQ,0.0,None,"With pre-built integrations to common web applications and SaaS providers, customers can instantly create test cases, generate test scripts and test data, and…"
Lead Data Scientist,Cognizant,3.9,None,Business/nWorks with the business team to identify the right business objective and data required to answer the sameDesigns and executes a data collection plan…
Trainee - Junior Data Analyst,Cognizant,3.9,None,"Maintain update inventory for various market data products software products etc.
Record own attendance and time sheet related data to ensure correct billing."
Data science/Data analytics/Python,HSBC,4.0,None,"Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights."
Data Analyst - Google Script,Shubham Tanks and Liners Pvt Ltd,0.0,None,"Manage all incoming data files.
Develop and implement procedures for effective data management.
To perform data analysis for generating reports on periodic…"
Delivery Data Scientist,Microsoft,4.2,None,"Hands on experience on Python for both data prep and modeling.
Hands on experience on Python for both data prep and modeling.
What you could bring to the team."
Trainee - Junior Data Analyst,Cognizant,3.9,None,"Maintain update inventory for various market data products software products etc.
Record own attendance and time sheet related data to ensure correct billing."
Data science/Data analytics/Python,HSBC,4.0,None,"Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights."
Data Analyst - Google Script,Shubham Tanks and Liners Pvt Ltd,0.0,None,"Manage all incoming data files.
Develop and implement procedures for effective data management.
To perform data analysis for generating reports on periodic…"
Delivery Data Scientist,Microsoft,4.2,None,"Hands on experience on Python for both data prep and modeling.
Hands on experience on Python for both data prep and modeling.
What you could bring to the team."
Data Analytics Internship,Alcove Studio By Sejal Mittal,0.0,None,"Analyse customer data for spend, loyalty etc.
Use excel to arrange the data set 2.
Set a process for management of data 3.
Have relevant skills and interests."
Data Scientist,Banctec Tps India Private Limited,3.5,None,"Ø Strong problem-solving skills with an emphasis on data transformation.
Ø Knowledge and experience in statistical and data mining techniques: Regression,…"
Data Scientist - Predictive Analytics,Yash Technologies,3.9,None,"Min 3+ years of relevant experience in data analytics.
Experience in developing minimum viable product related to data analytics."
Data Analyst,AXEL,0.0,None,"We are seeking a data analyst with strong quantitative skills who also has a good understanding of how a business operates.
Work from Home: Monday to Friday."
Data Scientist,Hookfish,0.0,None,"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…"
Data Scientist/ Machine Learning Consultant ( UK Location),Imurgence,0.0,None,"Data wrangling and data cleansing experience.
UK - Work permit / visa will be sponsored by the company.
Over all: 5+ Years IT experience."
Data Scientist,Intertrust,0.0,None,"Experience using Python to manipulate data and draw insights from large data sets.
3+ yrs exp in data science.
Should be strong in communication skills."
Senior Data Scientist,Razorpay,4.3,None,"Run data exploration to understand relationships and patterns within the data, develop data visualisation to represent and be able to demonstrate the…"
Data Scientist,MP Dominic & Company,0.0,None,"Should be strong in Probability, Statistics, Optimization, Calculus, General Math • Experience with some or all of the following: data mining, predictive…"
Data Scientist,Biz2Credit Inc,0.0,None,"Work on data projects and proposals involving Biz2Credit?s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…"
Machine Learning / Data Engineer with 3-5years experience,TalentHunt Consulting,0.0,None,"Ideally, experience working in a data-centric team or organization that delivers or manages data assets.
Experience leveraging open source data."
Senior Data & Insights Analyst,MoneyGram,3.7,"Mumbai, Maharashtra","Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of…"
Senior Data Scientist,Colgate-Palmolive,4.3,"Mumbai, Maharashtra","Direct a team of data scientists in identifying the right analytic solution for individual use cases.
Defines data lifecycles, including data sources, frequency…"
Delivery Data Scientist,Microsoft,4.2,None,"Hands on experience on Python for both data prep and modeling.
Hands on experience on Python for both data prep and modeling.
What you could bring to the team."
Data Analytics Internship,Alcove Studio By Sejal Mittal,0.0,None,"Analyse customer data for spend, loyalty etc.
Use excel to arrange the data set 2.
Set a process for management of data 3.
Have relevant skills and interests."
Data Scientist,Banctec Tps India Private Limited,3.5,None,"Ø Strong problem-solving skills with an emphasis on data transformation.
Ø Knowledge and experience in statistical and data mining techniques: Regression,…"
Data Scientist - Predictive Analytics,Yash Technologies,3.9,None,"Min 3+ years of relevant experience in data analytics.
Experience in developing minimum viable product related to data analytics."
Data Analyst,AXEL,0.0,None,"We are seeking a data analyst with strong quantitative skills who also has a good understanding of how a business operates.
Work from Home: Monday to Friday."
Data Scientist,Hookfish,0.0,None,"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…"
Data Scientist/ Machine Learning Consultant ( UK Location),Imurgence,0.0,None,"Data wrangling and data cleansing experience.
UK - Work permit / visa will be sponsored by the company.
Over all: 5+ Years IT experience."
Data Scientist,Intertrust,0.0,None,"Experience using Python to manipulate data and draw insights from large data sets.
3+ yrs exp in data science.
Should be strong in communication skills."
Senior Data Scientist,Razorpay,4.3,None,"Run data exploration to understand relationships and patterns within the data, develop data visualisation to represent and be able to demonstrate the…"
Data Scientist,MP Dominic & Company,0.0,None,"Should be strong in Probability, Statistics, Optimization, Calculus, General Math • Experience with some or all of the following: data mining, predictive…"
Planning and Materials Management COE Data Scientist,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka","10+ years of experience in data analytics.
Deep understanding of machine learning/data mining algorithms and techniques.
You can also find us on:"
Associate Scientist - Analytical Science,Colgate-Palmolive,4.3,"Mumbai, Maharashtra","Provide accurate data using existing analytical instruments and wet chemistry techniques in a cGMP environment.
Relocation Assistance Offered Within Country."
Data & Insights Analyst II,MoneyGram,3.7,"Mumbai, Maharashtra","Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of…"
Data Scientist 1,PayPal,3.9,"Bengaluru, Karnataka","Provide analytical insights by analyzing various types of data, including mining our customer data, review of relevant cases/samples, and incorporation of…"
Senior Data Scientist,PayPal,3.9,"Chennai, Tamil Nadu","Leveraging data analysis tools and technologies.
Ensure the team is delivering on our KPIs by using various data mining and data visualization tools to monitor…"
